	child	parent
Cell_8940	-1.0	-1.0
Cell_8941	-1.0	-1.0
Cell_8942	-1.0	-1.0
Cell_8943	-1.0	-1.0
Cell_8944	-1.0	-1.0
Cell_8945	-1.0	-1.0
Cell_8946	-1.0	-1.0
Cell_8947	-1.0	-1.0
Cell_8948	-1.0	-1.0
Cell_8949	-1.0	-1.0
Cell_8950	-1.0	-1.0
Cell_8951	-1.0	-1.0
Cell_8952	-1.0	-1.0
Cell_8953	-1.0	-1.0
Cell_8954	-1.0	-1.0
Cell_8955	-1.0	-1.0
Cell_8956	-1.0	-1.0
Cell_8957	-1.0	-1.0
Cell_8958	-1.0	-1.0
Cell_8959	-1.0	-1.0
Cell_8960	-1.0	-1.0
Cell_8961	-1.0	-1.0
Cell_8962	-1.0	-1.0
Cell_8963	-1.0	-1.0
Cell_8964	-1.0	-1.0
Cell_8965	-1.0	-1.0
Cell_8966	-1.0	-1.0
Cell_8967	-1.0	-1.0
Cell_8968	-1.0	-1.0
Cell_8969	-1.0	-1.0
Cell_8970	-1.0	-1.0
Cell_8971	-1.0	-1.0
Cell_8972	-1.0	-1.0
Cell_8973	-1.0	-1.0
Cell_8974	-1.0	-1.0
Cell_8975	-1.0	-1.0
Cell_8976	-1.0	-1.0
Cell_8977	-1.0	-1.0
Cell_8978	-1.0	-1.0
Cell_8979	-1.0	-1.0
Cell_8980	-1.0	-1.0
Cell_8981	-1.0	-1.0
Cell_8982	-1.0	-1.0
Cell_8983	-1.0	-1.0
Cell_8984	-1.0	-1.0
Cell_8985	-1.0	-1.0
Cell_8986	-1.0	-1.0
Cell_8987	-1.0	-1.0
Cell_8988	-1.0	-1.0
Cell_8989	-1.0	-1.0
Cell_8990	-1.0	-1.0
Cell_8991	-1.0	-1.0
Cell_8992	-1.0	-1.0
Cell_8993	-1.0	-1.0
Cell_8994	-1.0	-1.0
Cell_8995	-1.0	-1.0
Cell_8996	-1.0	-1.0
Cell_8997	-1.0	-1.0
Cell_8998	-1.0	-1.0
Cell_8999	-1.0	-1.0
Cell_9000	-1.0	-1.0
Cell_9001	-1.0	-1.0
Cell_9002	-1.0	-1.0
Cell_9003	-1.0	-1.0
Cell_9004	-1.0	-1.0
Cell_9005	-1.0	-1.0
Cell_9006	-1.0	-1.0
Cell_9007	-1.0	-1.0
Cell_9008	-1.0	-1.0
Cell_9009	-1.0	-1.0
Cell_9010	-1.0	-1.0
Cell_9011	-1.0	-1.0
Cell_9012	-1.0	-1.0
Cell_9013	-1.0	-1.0
Cell_9014	-1.0	-1.0
Cell_9015	-1.0	-1.0
Cell_9016	-1.0	-1.0
Cell_9017	-1.0	-1.0
Cell_9018	-1.0	-1.0
Cell_9019	-1.0	-1.0
Cell_9020	-1.0	-1.0
Cell_9021	-1.0	-1.0
Cell_9022	-1.0	-1.0
Cell_9023	-1.0	-1.0
Cell_9024	-1.0	-1.0
Cell_9025	-1.0	-1.0
Cell_9026	-1.0	-1.0
Cell_9027	-1.0	-1.0
Cell_9028	-1.0	-1.0
Cell_9029	-1.0	-1.0
Cell_9030	-1.0	-1.0
Cell_9031	-1.0	-1.0
Cell_9032	-1.0	-1.0
Cell_9033	-1.0	-1.0
Cell_9034	-1.0	-1.0
Cell_9035	-1.0	-1.0
Cell_9036	-1.0	-1.0
Cell_9037	-1.0	-1.0
Cell_9038	-1.0	-1.0
Cell_9039	-1.0	-1.0
Cell_9040	-1.0	-1.0
Cell_9041	-1.0	-1.0
Cell_9042	-1.0	-1.0
Cell_9043	-1.0	-1.0
Cell_9044	-1.0	-1.0
Cell_9045	-1.0	-1.0
Cell_9046	-1.0	-1.0
Cell_9047	-1.0	-1.0
Cell_9048	-1.0	-1.0
Cell_9049	-1.0	-1.0
Cell_9050	-1.0	-1.0
Cell_9051	-1.0	-1.0
Cell_9052	-1.0	-1.0
Cell_9053	-1.0	-1.0
Cell_9054	-1.0	-1.0
Cell_9055	-1.0	-1.0
Cell_9056	-1.0	-1.0
Cell_9057	-1.0	-1.0
Cell_9058	-1.0	-1.0
Cell_9059	-1.0	-1.0
Cell_9060	-1.0	-1.0
Cell_9061	-1.0	-1.0
Cell_9062	-1.0	-1.0
Cell_9063	-1.0	-1.0
Cell_9064	-1.0	-1.0
Cell_9065	-1.0	-1.0
Cell_9066	-1.0	-1.0
Cell_9067	-1.0	-1.0
Cell_9068	-1.0	-1.0
Cell_9069	-1.0	-1.0
Cell_9070	-1.0	-1.0
Cell_9071	-1.0	-1.0
Cell_9072	-1.0	-1.0
Cell_9073	-1.0	-1.0
Cell_9074	-1.0	-1.0
Cell_9075	-1.0	-1.0
Cell_9076	-1.0	-1.0
Cell_9077	-1.0	-1.0
Cell_9078	-1.0	-1.0
Cell_9079	-1.0	-1.0
Cell_9080	-1.0	-1.0
Cell_9081	-1.0	-1.0
Cell_9082	-1.0	-1.0
Cell_9083	-1.0	-1.0
Cell_9084	-1.0	-1.0
Cell_9085	-1.0	-1.0
Cell_9086	-1.0	-1.0
Cell_9087	-1.0	-1.0
Cell_9088	-1.0	-1.0
Cell_9089	-1.0	-1.0
Cell_9090	-1.0	-1.0
Cell_9091	-1.0	-1.0
Cell_9092	-1.0	-1.0
Cell_9093	-1.0	-1.0
Cell_9094	-1.0	-1.0
Cell_9095	-1.0	-1.0
Cell_9096	-1.0	-1.0
Cell_9097	-1.0	-1.0
Cell_9098	-1.0	-1.0
Cell_9099	-1.0	-1.0
Cell_9100	-1.0	-1.0
Cell_9101	-1.0	-1.0
Cell_9102	-1.0	-1.0
Cell_9103	-1.0	-1.0
Cell_9104	-1.0	-1.0
Cell_9105	-1.0	-1.0
Cell_9106	-1.0	-1.0
Cell_9107	-1.0	-1.0
Cell_9108	-1.0	-1.0
Cell_9109	-1.0	-1.0
Cell_9110	-1.0	-1.0
Cell_9111	-1.0	-1.0
Cell_9112	-1.0	-1.0
Cell_9113	-1.0	-1.0
Cell_9114	-1.0	-1.0
Cell_9115	-1.0	-1.0
Cell_9116	-1.0	-1.0
Cell_9117	-1.0	-1.0
Cell_9118	-1.0	-1.0
Cell_9119	-1.0	-1.0
Cell_9120	-1.0	-1.0
Cell_9121	-1.0	-1.0
Cell_9122	-1.0	-1.0
Cell_9123	-1.0	-1.0
Cell_9124	-1.0	-1.0
Cell_9125	-1.0	-1.0
Cell_9126	-1.0	-1.0
Cell_9127	-1.0	-1.0
Cell_9128	-1.0	-1.0
Cell_9129	-1.0	-1.0
Cell_9130	-1.0	-1.0
Cell_9131	-1.0	-1.0
Cell_9132	-1.0	-1.0
Cell_9133	-1.0	-1.0
Cell_9134	-1.0	-1.0
Cell_9135	-1.0	-1.0
Cell_9136	-1.0	-1.0
Cell_9137	-1.0	-1.0
Cell_9138	-1.0	-1.0
Cell_9139	-1.0	-1.0
Cell_9140	-1.0	-1.0
Cell_9141	-1.0	-1.0
Cell_9142	-1.0	-1.0
Cell_9143	-1.0	-1.0
Cell_9144	-1.0	-1.0
Cell_9145	-1.0	-1.0
Cell_9146	-1.0	-1.0
Cell_9147	-1.0	-1.0
Cell_9148	-1.0	-1.0
Cell_9149	-1.0	-1.0
Cell_9150	-1.0	-1.0
Cell_9151	-1.0	-1.0
Cell_9152	-1.0	-1.0
Cell_9153	-1.0	-1.0
Cell_9154	-1.0	-1.0
Cell_9155	-1.0	-1.0
Cell_9156	-1.0	-1.0
Cell_9157	-1.0	-1.0
Cell_9158	-1.0	-1.0
Cell_9159	-1.0	-1.0
Cell_9160	-1.0	-1.0
Cell_9161	-1.0	-1.0
Cell_9162	-1.0	-1.0
Cell_9163	-1.0	-1.0
Cell_9164	-1.0	-1.0
Cell_9165	-1.0	-1.0
Cell_9166	-1.0	-1.0
Cell_9167	-1.0	-1.0
Cell_9168	-1.0	-1.0
Cell_9169	-1.0	-1.0
Cell_9170	-1.0	-1.0
Cell_9171	-1.0	-1.0
Cell_9172	-1.0	-1.0
Cell_9173	-1.0	-1.0
Cell_9174	-1.0	-1.0
Cell_9175	-1.0	-1.0
Cell_9176	-1.0	-1.0
Cell_9177	-1.0	-1.0
Cell_9178	-1.0	-1.0
Cell_9179	-1.0	-1.0
Cell_9180	-1.0	-1.0
Cell_9181	-1.0	-1.0
Cell_9182	-1.0	-1.0
Cell_9183	-1.0	-1.0
Cell_9184	-1.0	-1.0
Cell_9185	-1.0	-1.0
Cell_9186	-1.0	-1.0
Cell_9187	-1.0	-1.0
Cell_9188	-1.0	-1.0
Cell_9189	-1.0	-1.0
Cell_9190	-1.0	-1.0
Cell_9191	-1.0	-1.0
Cell_9192	-1.0	-1.0
Cell_9193	-1.0	-1.0
Cell_9194	-1.0	-1.0
Cell_9195	-1.0	-1.0
Cell_9196	-1.0	-1.0
Cell_9197	-1.0	-1.0
Cell_9198	-1.0	-1.0
Cell_9199	-1.0	-1.0
Cell_9200	-1.0	-1.0
Cell_9201	-1.0	-1.0
Cell_9202	-1.0	-1.0
Cell_9203	-1.0	-1.0
Cell_9204	-1.0	-1.0
Cell_9205	-1.0	-1.0
Cell_9206	-1.0	-1.0
Cell_9207	-1.0	-1.0
Cell_9208	-1.0	-1.0
Cell_9209	-1.0	-1.0
Cell_9210	-1.0	-1.0
Cell_9211	-1.0	-1.0
Cell_9212	-1.0	-1.0
Cell_9213	-1.0	-1.0
Cell_9214	-1.0	-1.0
Cell_9215	-1.0	-1.0
Cell_9216	-1.0	-1.0
Cell_9217	-1.0	-1.0
Cell_9218	-1.0	-1.0
Cell_9219	-1.0	-1.0
Cell_9220	-1.0	-1.0
Cell_9221	-1.0	-1.0
Cell_9222	-1.0	-1.0
Cell_9223	-1.0	-1.0
Cell_9224	-1.0	-1.0
Cell_9225	-1.0	-1.0
Cell_9226	-1.0	-1.0
Cell_9227	-1.0	-1.0
Cell_9228	-1.0	-1.0
Cell_9229	-1.0	-1.0
Cell_9230	-1.0	-1.0
Cell_9231	-1.0	-1.0
Cell_9232	-1.0	-1.0
Cell_9233	-1.0	-1.0
Cell_9234	-1.0	-1.0
Cell_9235	-1.0	-1.0
Cell_9236	-1.0	-1.0
Cell_9237	-1.0	-1.0
Cell_9238	-1.0	-1.0
Cell_9239	-1.0	-1.0
Cell_9240	-1.0	-1.0
Cell_9241	-1.0	-1.0
Cell_9242	-1.0	-1.0
Cell_9243	-1.0	-1.0
Cell_9244	-1.0	-1.0
Cell_9245	-1.0	-1.0
Cell_9246	-1.0	-1.0
Cell_9247	-1.0	-1.0
Cell_9248	-1.0	-1.0
Cell_9249	-1.0	-1.0
Cell_9250	-1.0	-1.0
Cell_9251	-1.0	-1.0
Cell_9252	-1.0	-1.0
Cell_9253	-1.0	-1.0
Cell_9254	-1.0	-1.0
Cell_9255	-1.0	-1.0
Cell_9256	-1.0	-1.0
Cell_9257	-1.0	-1.0
Cell_9258	-1.0	-1.0
Cell_9259	-1.0	-1.0
Cell_9260	-1.0	-1.0
Cell_9261	-1.0	-1.0
Cell_9262	-1.0	-1.0
Cell_9263	-1.0	-1.0
Cell_9264	-1.0	-1.0
Cell_9265	-1.0	-1.0
Cell_9266	-1.0	-1.0
Cell_9267	-1.0	-1.0
Cell_9268	-1.0	-1.0
Cell_9269	-1.0	-1.0
Cell_9270	-1.0	-1.0
Cell_9271	-1.0	-1.0
Cell_9272	-1.0	-1.0
Cell_9273	-1.0	-1.0
Cell_9274	-1.0	-1.0
Cell_9275	-1.0	-1.0
Cell_9276	-1.0	-1.0
Cell_9277	-1.0	-1.0
Cell_9278	-1.0	-1.0
Cell_9279	-1.0	-1.0
Cell_9280	-1.0	-1.0
Cell_9281	-1.0	-1.0
Cell_9282	-1.0	-1.0
Cell_9283	-1.0	-1.0
Cell_9284	-1.0	-1.0
Cell_9285	-1.0	-1.0
Cell_9286	-1.0	-1.0
Cell_9287	-1.0	-1.0
Cell_9288	-1.0	-1.0
Cell_9289	-1.0	-1.0
Cell_9290	-1.0	-1.0
Cell_9291	-1.0	-1.0
Cell_9292	-1.0	-1.0
Cell_9293	-1.0	-1.0
Cell_9294	-1.0	-1.0
Cell_9295	-1.0	-1.0
Cell_9296	-1.0	-1.0
Cell_9297	-1.0	-1.0
Cell_9298	-1.0	-1.0
Cell_9299	-1.0	-1.0
Cell_9300	-1.0	-1.0
Cell_9301	-1.0	-1.0
Cell_9302	-1.0	-1.0
Cell_9303	-1.0	-1.0
Cell_9304	-1.0	-1.0
Cell_9305	-1.0	-1.0
Cell_9306	-1.0	-1.0
Cell_9307	-1.0	-1.0
Cell_9308	-1.0	-1.0
Cell_9309	-1.0	-1.0
Cell_9310	-1.0	-1.0
Cell_9311	-1.0	-1.0
Cell_9312	-1.0	-1.0
Cell_9313	-1.0	-1.0
Cell_9314	-1.0	-1.0
Cell_9315	-1.0	-1.0
Cell_9316	-1.0	-1.0
Cell_9317	-1.0	-1.0
Cell_9318	-1.0	-1.0
Cell_9319	-1.0	-1.0
Cell_9320	-1.0	-1.0
Cell_9321	-1.0	-1.0
Cell_9322	-1.0	-1.0
Cell_9323	-1.0	-1.0
Cell_9324	-1.0	-1.0
Cell_9325	-1.0	-1.0
Cell_9326	-1.0	-1.0
Cell_9327	-1.0	-1.0
Cell_9328	-1.0	-1.0
Cell_9329	-1.0	-1.0
Cell_9330	-1.0	-1.0
Cell_9331	-1.0	-1.0
Cell_9332	-1.0	-1.0
Cell_9333	-1.0	-1.0
Cell_9334	-1.0	-1.0
Cell_9335	-1.0	-1.0
Cell_9336	-1.0	-1.0
Cell_9337	-1.0	-1.0
Cell_9338	-1.0	-1.0
Cell_9339	-1.0	-1.0
Cell_9340	-1.0	-1.0
Cell_9341	-1.0	-1.0
Cell_9342	-1.0	-1.0
Cell_9343	-1.0	-1.0
Cell_9344	-1.0	-1.0
Cell_9345	-1.0	-1.0
Cell_9346	-1.0	-1.0
Cell_9347	-1.0	-1.0
Cell_9348	-1.0	-1.0
Cell_9349	-1.0	-1.0
Cell_9350	-1.0	-1.0
Cell_9351	-1.0	-1.0
Cell_9352	-1.0	-1.0
Cell_9353	-1.0	-1.0
Cell_9354	-1.0	-1.0
Cell_9355	-1.0	-1.0
Cell_9356	-1.0	-1.0
Cell_9357	-1.0	-1.0
Cell_9358	-1.0	-1.0
Cell_9359	-1.0	-1.0
Cell_9360	-1.0	-1.0
Cell_9361	-1.0	-1.0
Cell_9362	-1.0	-1.0
Cell_9363	-1.0	-1.0
Cell_9364	-1.0	-1.0
Cell_9365	-1.0	-1.0
Cell_9366	-1.0	-1.0
Cell_9367	-1.0	-1.0
Cell_9368	-1.0	-1.0
Cell_9369	-1.0	-1.0
Cell_9370	-1.0	-1.0
Cell_9371	-1.0	-1.0
Cell_9372	-1.0	-1.0
Cell_9373	-1.0	-1.0
Cell_9374	-1.0	-1.0
Cell_9375	-1.0	-1.0
Cell_9376	-1.0	-1.0
Cell_9377	-1.0	-1.0
Cell_9378	-1.0	-1.0
Cell_9379	-1.0	-1.0
Cell_9380	-1.0	-1.0
Cell_9381	-1.0	-1.0
Cell_9382	-1.0	-1.0
Cell_9383	-1.0	-1.0
Cell_9384	-1.0	-1.0
Cell_9385	-1.0	-1.0
Cell_9386	-1.0	-1.0
Cell_9387	-1.0	-1.0
Cell_9388	-1.0	-1.0
Cell_9389	-1.0	-1.0
Cell_9390	-1.0	-1.0
Cell_9391	-1.0	-1.0
Cell_9392	-1.0	-1.0
Cell_9393	-1.0	-1.0
Cell_9394	-1.0	-1.0
Cell_9395	-1.0	-1.0
Cell_9396	-1.0	-1.0
Cell_9397	-1.0	-1.0
Cell_9398	-1.0	-1.0
Cell_9399	-1.0	-1.0
Cell_9400	-1.0	-1.0
Cell_9401	-1.0	-1.0
Cell_9402	-1.0	-1.0
Cell_9403	-1.0	-1.0
Cell_9404	-1.0	-1.0
Cell_9405	-1.0	-1.0
Cell_9406	-1.0	-1.0
Cell_9407	-1.0	-1.0
Cell_9408	-1.0	-1.0
Cell_9409	-1.0	-1.0
Cell_9410	-1.0	-1.0
Cell_9411	-1.0	-1.0
Cell_9412	-1.0	-1.0
Cell_9413	-1.0	-1.0
Cell_9414	-1.0	-1.0
Cell_9415	-1.0	-1.0
Cell_9416	-1.0	-1.0
Cell_9417	-1.0	-1.0
Cell_9418	-1.0	-1.0
Cell_9419	-1.0	-1.0
Cell_9420	-1.0	-1.0
Cell_9421	-1.0	-1.0
Cell_9422	-1.0	-1.0
Cell_9423	-1.0	-1.0
Cell_9424	-1.0	-1.0
Cell_9425	-1.0	-1.0
Cell_9426	-1.0	-1.0
Cell_9427	-1.0	-1.0
Cell_9428	-1.0	-1.0
Cell_9429	-1.0	-1.0
Cell_9430	-1.0	-1.0
Cell_9431	-1.0	-1.0
Cell_9432	-1.0	-1.0
Cell_9433	-1.0	-1.0
Cell_9434	-1.0	-1.0
Cell_9435	-1.0	-1.0
Cell_9436	-1.0	-1.0
Cell_9437	-1.0	-1.0
Cell_9438	-1.0	-1.0
Cell_9439	-1.0	-1.0
Cell_9440	-1.0	-1.0
Cell_9441	-1.0	-1.0
Cell_9442	-1.0	-1.0
Cell_9443	-1.0	-1.0
Cell_9444	-1.0	-1.0
Cell_9445	-1.0	-1.0
Cell_9446	-1.0	-1.0
Cell_9447	-1.0	-1.0
Cell_9448	-1.0	-1.0
Cell_9449	-1.0	-1.0
Cell_9450	-1.0	-1.0
Cell_9451	-1.0	-1.0
Cell_9452	-1.0	-1.0
Cell_9453	-1.0	-1.0
Cell_9454	-1.0	-1.0
Cell_9455	-1.0	-1.0
Cell_9456	-1.0	-1.0
Cell_9457	-1.0	-1.0
Cell_9458	-1.0	-1.0
Cell_9459	-1.0	-1.0
Cell_9460	-1.0	-1.0
Cell_9461	-1.0	-1.0
Cell_9462	-1.0	-1.0
Cell_9463	-1.0	-1.0
Cell_9464	-1.0	-1.0
Cell_9465	-1.0	-1.0
Cell_9466	-1.0	-1.0
Cell_9467	-1.0	-1.0
Cell_9468	-1.0	-1.0
Cell_9469	-1.0	-1.0
Cell_9470	-1.0	-1.0
Cell_9471	-1.0	-1.0
Cell_9472	-1.0	-1.0
Cell_9473	-1.0	-1.0
Cell_9474	-1.0	-1.0
Cell_9475	-1.0	-1.0
Cell_9476	-1.0	-1.0
Cell_9477	-1.0	-1.0
Cell_9478	-1.0	-1.0
Cell_9479	-1.0	-1.0
Cell_9480	-1.0	-1.0
Cell_9481	-1.0	-1.0
Cell_9482	-1.0	-1.0
Cell_9483	-1.0	-1.0
Cell_9484	-1.0	-1.0
Cell_9485	-1.0	-1.0
Cell_9486	-1.0	-1.0
Cell_9487	-1.0	-1.0
Cell_9488	-1.0	-1.0
Cell_9489	-1.0	-1.0
Cell_9490	-1.0	-1.0
Cell_9491	-1.0	-1.0
Cell_9492	-1.0	-1.0
Cell_9493	-1.0	-1.0
Cell_9494	-1.0	-1.0
Cell_9495	-1.0	-1.0
Cell_9496	-1.0	-1.0
Cell_9497	-1.0	-1.0
Cell_9498	-1.0	-1.0
Cell_9499	-1.0	-1.0
Cell_9500	-1.0	-1.0
Cell_9501	-1.0	-1.0
Cell_9502	-1.0	-1.0
Cell_9503	-1.0	-1.0
Cell_9504	-1.0	-1.0
Cell_9505	-1.0	-1.0
Cell_9506	-1.0	-1.0
Cell_9507	-1.0	-1.0
Cell_9508	-1.0	-1.0
Cell_9509	-1.0	-1.0
Cell_9510	-1.0	-1.0
Cell_9511	-1.0	-1.0
Cell_9512	-1.0	-1.0
Cell_9513	-1.0	-1.0
Cell_9514	-1.0	-1.0
Cell_9515	-1.0	-1.0
Cell_9516	-1.0	-1.0
Cell_9517	-1.0	-1.0
Cell_9518	-1.0	-1.0
Cell_9519	-1.0	-1.0
Cell_9520	-1.0	-1.0
Cell_9521	-1.0	-1.0
Cell_9522	-1.0	-1.0
Cell_9523	-1.0	-1.0
Cell_9524	-1.0	-1.0
Cell_9525	-1.0	-1.0
Cell_9526	-1.0	-1.0
Cell_9527	-1.0	-1.0
Cell_9528	-1.0	-1.0
Cell_9529	-1.0	-1.0
Cell_9530	-1.0	-1.0
Cell_9531	-1.0	-1.0
Cell_9532	-1.0	-1.0
Cell_9533	-1.0	-1.0
Cell_9534	-1.0	-1.0
Cell_9535	-1.0	-1.0
Cell_9536	-1.0	-1.0
Cell_9537	-1.0	-1.0
Cell_9538	-1.0	-1.0
Cell_9539	-1.0	-1.0
Cell_9540	-1.0	-1.0
Cell_9541	-1.0	-1.0
Cell_9542	-1.0	-1.0
Cell_9543	-1.0	-1.0
Cell_9544	-1.0	-1.0
Cell_9545	-1.0	-1.0
Cell_9546	-1.0	-1.0
Cell_9547	-1.0	-1.0
Cell_9548	-1.0	-1.0
Cell_9549	-1.0	-1.0
Cell_9550	-1.0	-1.0
Cell_9551	-1.0	-1.0
Cell_9552	-1.0	-1.0
Cell_9553	-1.0	-1.0
Cell_9554	-1.0	-1.0
Cell_9555	-1.0	-1.0
Cell_9556	-1.0	-1.0
Cell_9557	-1.0	-1.0
Cell_9558	-1.0	-1.0
Cell_9559	-1.0	-1.0
Cell_9560	-1.0	-1.0
Cell_9561	-1.0	-1.0
Cell_9562	-1.0	-1.0
Cell_9563	-1.0	-1.0
Cell_9564	-1.0	-1.0
Cell_9565	-1.0	-1.0
Cell_9566	-1.0	-1.0
Cell_9567	-1.0	-1.0
Cell_9568	-1.0	-1.0
Cell_9569	-1.0	-1.0
Cell_9570	-1.0	-1.0
Cell_9571	-1.0	-1.0
Cell_9572	-1.0	-1.0
Cell_9573	-1.0	-1.0
Cell_9574	-1.0	-1.0
Cell_9575	-1.0	-1.0
Cell_9576	-1.0	-1.0
Cell_9577	-1.0	-1.0
Cell_9578	-1.0	-1.0
Cell_9579	-1.0	-1.0
Cell_9580	-1.0	-1.0
Cell_9581	-1.0	-1.0
Cell_9582	-1.0	-1.0
Cell_9583	-1.0	-1.0
Cell_9584	-1.0	-1.0
Cell_9585	-1.0	-1.0
Cell_9586	-1.0	-1.0
Cell_9587	-1.0	-1.0
Cell_9588	-1.0	-1.0
Cell_9589	-1.0	-1.0
Cell_9590	-1.0	-1.0
Cell_9591	-1.0	-1.0
Cell_9592	-1.0	-1.0
Cell_9593	-1.0	-1.0
Cell_9594	-1.0	-1.0
Cell_9595	-1.0	-1.0
Cell_9596	-1.0	-1.0
Cell_9597	-1.0	-1.0
Cell_9598	-1.0	-1.0
Cell_9599	-1.0	-1.0
Cell_9600	-1.0	-1.0
Cell_9601	-1.0	-1.0
Cell_9602	-1.0	-1.0
Cell_9603	-1.0	-1.0
Cell_9604	-1.0	-1.0
Cell_9605	-1.0	-1.0
Cell_9606	-1.0	-1.0
Cell_9607	-1.0	-1.0
Cell_9608	-1.0	-1.0
Cell_9609	-1.0	-1.0
Cell_9610	-1.0	-1.0
Cell_9611	-1.0	-1.0
Cell_9612	-1.0	-1.0
Cell_9613	-1.0	-1.0
Cell_9614	-1.0	-1.0
Cell_9615	-1.0	-1.0
Cell_9616	-1.0	-1.0
Cell_9617	-1.0	-1.0
Cell_9618	-1.0	-1.0
Cell_9619	-1.0	-1.0
Cell_9620	-1.0	-1.0
Cell_9621	-1.0	-1.0
Cell_9622	-1.0	-1.0
Cell_9623	-1.0	-1.0
Cell_9624	-1.0	-1.0
Cell_9625	-1.0	-1.0
Cell_9626	-1.0	-1.0
Cell_9627	-1.0	-1.0
Cell_9628	-1.0	-1.0
Cell_9629	-1.0	-1.0
Cell_9630	-1.0	-1.0
Cell_9631	-1.0	-1.0
Cell_9632	-1.0	-1.0
Cell_9633	-1.0	-1.0
Cell_9634	-1.0	-1.0
Cell_9635	-1.0	-1.0
Cell_9636	-1.0	-1.0
Cell_9637	-1.0	-1.0
Cell_9638	-1.0	-1.0
Cell_9639	-1.0	-1.0
Cell_9640	-1.0	-1.0
Cell_9641	-1.0	-1.0
Cell_9642	-1.0	-1.0
Cell_9643	-1.0	-1.0
Cell_9644	-1.0	-1.0
Cell_9645	-1.0	-1.0
Cell_9646	-1.0	-1.0
Cell_9647	-1.0	-1.0
Cell_9648	-1.0	-1.0
Cell_9649	-1.0	-1.0
Cell_9650	-1.0	-1.0
Cell_9651	-1.0	-1.0
Cell_9652	-1.0	-1.0
Cell_9653	-1.0	-1.0
Cell_9654	-1.0	-1.0
Cell_9655	-1.0	-1.0
Cell_9656	-1.0	-1.0
Cell_9657	-1.0	-1.0
Cell_9658	-1.0	-1.0
Cell_9659	-1.0	-1.0
Cell_9660	-1.0	-1.0
Cell_9661	-1.0	-1.0
Cell_9662	-1.0	-1.0
Cell_9663	-1.0	-1.0
Cell_9664	-1.0	-1.0
Cell_9665	-1.0	-1.0
Cell_9666	-1.0	-1.0
Cell_9667	-1.0	-1.0
Cell_9668	-1.0	-1.0
Cell_9669	-1.0	-1.0
Cell_9670	-1.0	-1.0
Cell_9671	-1.0	-1.0
Cell_9672	-1.0	-1.0
Cell_9673	-1.0	-1.0
Cell_9674	-1.0	-1.0
Cell_9675	-1.0	-1.0
Cell_9676	-1.0	-1.0
Cell_9677	-1.0	-1.0
Cell_9678	-1.0	-1.0
Cell_9679	-1.0	-1.0
Cell_9680	-1.0	-1.0
Cell_9681	-1.0	-1.0
Cell_9682	-1.0	-1.0
Cell_9683	-1.0	-1.0
Cell_9684	-1.0	-1.0
Cell_9685	-1.0	-1.0
Cell_9686	-1.0	-1.0
Cell_9687	-1.0	-1.0
Cell_9688	-1.0	-1.0
Cell_9689	-1.0	-1.0
Cell_9690	-1.0	-1.0
Cell_9691	-1.0	-1.0
Cell_9692	-1.0	-1.0
Cell_9693	-1.0	-1.0
Cell_9694	-1.0	-1.0
Cell_9695	-1.0	-1.0
Cell_9696	-1.0	-1.0
Cell_9697	-1.0	-1.0
Cell_9698	-1.0	-1.0
Cell_9699	-1.0	-1.0
Cell_9700	-1.0	-1.0
Cell_9701	-1.0	-1.0
Cell_9702	-1.0	-1.0
Cell_9703	-1.0	-1.0
Cell_9704	-1.0	-1.0
Cell_9705	-1.0	-1.0
Cell_9706	-1.0	-1.0
Cell_9707	-1.0	-1.0
Cell_9708	-1.0	-1.0
Cell_9709	-1.0	-1.0
Cell_9710	-1.0	-1.0
Cell_9711	-1.0	-1.0
Cell_9712	-1.0	-1.0
Cell_9713	-1.0	-1.0
Cell_9714	-1.0	-1.0
Cell_9715	-1.0	-1.0
Cell_9716	-1.0	-1.0
Cell_9717	-1.0	-1.0
Cell_9718	-1.0	-1.0
Cell_9719	-1.0	-1.0
Cell_9720	-1.0	-1.0
Cell_9721	-1.0	-1.0
Cell_9722	-1.0	-1.0
Cell_9723	-1.0	-1.0
Cell_9724	-1.0	-1.0
Cell_9725	-1.0	-1.0
Cell_9726	-1.0	-1.0
Cell_9727	-1.0	-1.0
Cell_9728	-1.0	-1.0
Cell_9729	-1.0	-1.0
Cell_9730	-1.0	-1.0
Cell_9731	-1.0	-1.0
Cell_9732	-1.0	-1.0
Cell_9733	-1.0	-1.0
Cell_9734	-1.0	-1.0
Cell_9735	-1.0	-1.0
Cell_9736	-1.0	-1.0
Cell_9737	-1.0	-1.0
Cell_9738	-1.0	-1.0
Cell_9739	-1.0	-1.0
Cell_9740	-1.0	-1.0
Cell_9741	-1.0	-1.0
Cell_9742	-1.0	-1.0
Cell_9743	-1.0	-1.0
Cell_9744	-1.0	-1.0
Cell_9745	-1.0	-1.0
Cell_9746	-1.0	-1.0
Cell_9747	-1.0	-1.0
Cell_9748	-1.0	-1.0
Cell_9749	-1.0	-1.0
Cell_9750	-1.0	-1.0
Cell_9751	-1.0	-1.0
Cell_9752	-1.0	-1.0
Cell_9753	-1.0	-1.0
Cell_9754	-1.0	-1.0
Cell_9755	-1.0	-1.0
Cell_9756	-1.0	-1.0
Cell_9757	-1.0	-1.0
Cell_9758	-1.0	-1.0
Cell_9759	-1.0	-1.0
Cell_9760	-1.0	-1.0
Cell_9761	-1.0	-1.0
Cell_9762	-1.0	-1.0
