	x	y	cluster
Cell_3606	140.0	159.0	9.0
Cell_3607	140.0	160.0	9.0
Cell_3608	141.0	159.0	9.0
Cell_3609	137.0	161.0	9.0
Cell_3610	137.0	166.0	9.0
Cell_3611	139.0	161.0	9.0
Cell_3612	139.0	162.0	9.0
Cell_3613	140.0	164.0	9.0
Cell_3614	139.0	163.0	9.0
Cell_3615	140.0	156.0	9.0
Cell_3616	143.0	154.0	9.0
Cell_3617	144.0	154.0	9.0
Cell_3618	143.0	153.0	9.0
Cell_3619	141.0	158.0	9.0
Cell_3620	144.0	157.0	9.0
Cell_3621	143.0	157.0	9.0
Cell_3622	142.0	156.0	9.0
Cell_3623	142.0	158.0	9.0
Cell_3624	141.0	154.0	9.0
Cell_3625	139.0	154.0	9.0
Cell_3626	139.0	155.0	9.0
Cell_3627	138.0	154.0	9.0
Cell_3628	139.0	153.0	9.0
Cell_3629	137.0	154.0	9.0
Cell_3630	135.0	152.0	9.0
Cell_3631	141.0	156.0	9.0
Cell_3632	141.0	157.0	9.0
Cell_3633	139.0	156.0	9.0
Cell_3634	139.0	158.0	9.0
Cell_3635	139.0	160.0	9.0
Cell_3636	138.0	160.0	9.0
Cell_3637	137.0	162.0	9.0
Cell_3638	137.0	160.0	9.0
Cell_3639	130.0	162.0	9.0
Cell_3640	129.0	162.0	9.0
Cell_3641	128.0	162.0	9.0
Cell_3642	134.0	162.0	9.0
Cell_3643	130.0	160.0	9.0
Cell_3644	132.0	158.0	9.0
Cell_3645	124.0	160.0	9.0
Cell_3646	137.0	159.0	9.0
Cell_3647	135.0	159.0	9.0
Cell_3648	138.0	153.0	9.0
Cell_3649	137.0	152.0	9.0
Cell_3650	136.0	153.0	9.0
Cell_3651	135.0	153.0	9.0
Cell_3652	134.0	154.0	9.0
Cell_3653	131.0	152.0	9.0
Cell_3654	131.0	154.0	9.0
Cell_3655	133.0	154.0	9.0
Cell_3656	132.0	152.0	9.0
Cell_3657	134.0	150.0	9.0
Cell_3658	134.0	146.0	9.0
Cell_3659	140.0	155.0	9.0
Cell_3660	137.0	155.0	9.0
Cell_3661	135.0	155.0	9.0
Cell_3662	135.0	157.0	9.0
Cell_3663	137.0	153.0	9.0
Cell_3664	138.0	159.0	9.0
Cell_3665	136.0	159.0	9.0
Cell_3666	134.0	157.0	9.0
Cell_3667	134.0	156.0	9.0
Cell_3668	136.0	157.0	9.0
Cell_3669	138.0	162.0	9.0
Cell_3670	134.0	161.0	9.0
Cell_3671	135.0	160.0	9.0
Cell_3672	133.0	162.0	9.0
Cell_3673	134.0	164.0	9.0
Cell_3674	135.0	162.0	9.0
Cell_3675	135.0	161.0	9.0
Cell_3676	136.0	162.0	9.0
Cell_3677	139.0	159.0	9.0
Cell_3678	133.0	158.0	9.0
Cell_3679	133.0	157.0	9.0
Cell_3680	134.0	158.0	9.0
Cell_3681	129.0	157.0	9.0
Cell_3682	128.0	158.0	9.0
Cell_3683	128.0	160.0	9.0
Cell_3684	129.0	155.0	9.0
Cell_3685	130.0	157.0	9.0
Cell_3686	130.0	156.0	9.0
Cell_3687	129.0	156.0	9.0
Cell_3688	131.0	156.0	9.0
Cell_3689	131.0	161.0	9.0
Cell_3690	133.0	161.0	9.0
Cell_3691	130.0	163.0	9.0
Cell_3692	128.0	163.0	9.0
Cell_3693	132.0	162.0	9.0
Cell_3694	129.0	161.0	9.0
Cell_3695	127.0	161.0	9.0
Cell_3696	132.0	157.0	9.0
Cell_3697	134.0	152.0	9.0
Cell_3698	134.0	151.0	9.0
Cell_3699	130.0	153.0	9.0
Cell_3700	128.0	154.0	9.0
Cell_3701	127.0	153.0	9.0
Cell_3702	130.0	154.0	9.0
Cell_3703	117.0	153.0	9.0
Cell_3704	115.0	153.0	9.0
Cell_3705	129.0	153.0	9.0
Cell_3706	129.0	152.0	9.0
Cell_3707	127.0	152.0	9.0
Cell_3708	129.0	151.0	9.0
Cell_3709	128.0	152.0	9.0
Cell_3710	128.0	150.0	9.0
Cell_3711	128.0	153.0	9.0
Cell_3712	130.0	152.0	9.0
Cell_3713	138.0	156.0	9.0
Cell_3714	138.0	158.0	9.0
Cell_3715	136.0	156.0	9.0
Cell_3716	135.0	156.0	9.0
Cell_3717	133.0	156.0	9.0
Cell_3718	132.0	156.0	9.0
Cell_3719	135.0	158.0	9.0
Cell_3720	136.0	155.0	9.0
Cell_3721	134.0	155.0	9.0
Cell_3722	137.0	157.0	9.0
Cell_3723	137.0	156.0	9.0
Cell_3724	136.0	154.0	9.0
Cell_3725	135.0	154.0	9.0
Cell_3726	134.0	153.0	9.0
Cell_3727	136.0	152.0	9.0
Cell_3728	136.0	158.0	9.0
Cell_3729	134.0	160.0	9.0
Cell_3730	132.0	160.0	9.0
Cell_3731	134.0	159.0	9.0
Cell_3732	133.0	159.0	9.0
Cell_3733	132.0	159.0	9.0
Cell_3734	125.0	166.0	9.0
Cell_3735	132.0	161.0	9.0
Cell_3736	126.0	164.0	9.0
Cell_3737	126.0	162.0	9.0
Cell_3738	133.0	164.0	9.0
Cell_3739	134.0	165.0	9.0
Cell_3740	135.0	169.0	9.0
Cell_3741	134.0	170.0	9.0
Cell_3742	133.0	171.0	9.0
Cell_3743	133.0	170.0	9.0
Cell_3744	130.0	170.0	9.0
Cell_3745	134.0	172.0	9.0
Cell_3746	135.0	173.0	9.0
Cell_3747	135.0	172.0	9.0
Cell_3748	132.0	173.0	9.0
Cell_3749	132.0	175.0	9.0
Cell_3750	131.0	157.0	9.0
Cell_3751	119.0	159.0	9.0
Cell_3752	120.0	159.0	9.0
Cell_3753	120.0	158.0	9.0
Cell_3754	121.0	159.0	9.0
Cell_3755	120.0	160.0	9.0
Cell_3756	122.0	161.0	9.0
Cell_3757	117.0	162.0	9.0
Cell_3758	115.0	158.0	9.0
Cell_3759	115.0	159.0	9.0
Cell_3760	114.0	158.0	9.0
Cell_3761	117.0	158.0	9.0
Cell_3762	116.0	158.0	9.0
Cell_3763	127.0	154.0	9.0
Cell_3764	129.0	154.0	9.0
Cell_3765	119.0	156.0	9.0
Cell_3766	119.0	158.0	9.0
Cell_3767	124.0	164.0	9.0
Cell_3768	124.0	163.0	9.0
Cell_3769	124.0	165.0	9.0
Cell_3770	118.0	159.0	9.0
Cell_3771	124.0	161.0	9.0
Cell_3772	125.0	161.0	9.0
Cell_3773	121.0	157.0	9.0
Cell_3774	121.0	158.0	9.0
Cell_3775	121.0	155.0	9.0
Cell_3776	121.0	154.0	9.0
Cell_3777	121.0	156.0	9.0
Cell_3778	123.0	156.0	9.0
Cell_3779	122.0	156.0	9.0
Cell_3780	123.0	154.0	9.0
Cell_3781	125.0	157.0	9.0
Cell_3782	124.0	157.0	9.0
Cell_3783	123.0	157.0	9.0
Cell_3784	120.0	157.0	9.0
Cell_3785	118.0	157.0	9.0
Cell_3786	116.0	157.0	9.0
Cell_3787	125.0	156.0	9.0
Cell_3788	122.0	157.0	9.0
Cell_3789	120.0	156.0	9.0
Cell_3790	133.0	153.0	9.0
Cell_3791	129.0	158.0	9.0
Cell_3792	130.0	161.0	9.0
Cell_3793	128.0	159.0	9.0
Cell_3794	129.0	159.0	9.0
Cell_3795	128.0	161.0	9.0
Cell_3796	126.0	160.0	9.0
Cell_3797	127.0	162.0	9.0
Cell_3798	130.0	169.0	9.0
Cell_3799	131.0	158.0	9.0
Cell_3800	130.0	158.0	9.0
Cell_3801	130.0	159.0	9.0
Cell_3802	126.0	158.0	9.0
Cell_3803	126.0	155.0	9.0
Cell_3804	128.0	157.0	9.0
Cell_3805	128.0	155.0	9.0
Cell_3806	126.0	156.0	9.0
Cell_3807	127.0	156.0	9.0
Cell_3808	125.0	159.0	9.0
Cell_3809	127.0	159.0	9.0
Cell_3810	115.0	157.0	9.0
Cell_3811	114.0	157.0	9.0
Cell_3812	128.0	156.0	9.0
Cell_3813	127.0	158.0	9.0
Cell_3814	127.0	160.0	9.0
Cell_3815	127.0	155.0	9.0
Cell_3816	125.0	155.0	9.0
Cell_3817	127.0	157.0	9.0
Cell_3818	126.0	157.0	9.0
Cell_3819	125.0	158.0	9.0
Cell_3820	123.0	158.0	9.0
Cell_3821	122.0	158.0	9.0
Cell_3822	125.0	160.0	9.0
Cell_3823	125.0	162.0	9.0
Cell_3824	121.0	163.0	9.0
Cell_3825	123.0	162.0	9.0
Cell_3826	123.0	164.0	9.0
Cell_3827	121.0	161.0	9.0
Cell_3828	126.0	159.0	9.0
Cell_3829	124.0	159.0	9.0
Cell_3830	126.0	161.0	9.0
Cell_3831	123.0	159.0	9.0
Cell_3832	123.0	155.0	9.0
Cell_3833	124.0	155.0	9.0
Cell_3834	120.0	155.0	9.0
Cell_3835	118.0	155.0	9.0
Cell_3836	117.0	155.0	9.0
Cell_3837	119.0	157.0	9.0
Cell_3838	131.0	155.0	9.0
Cell_3839	132.0	155.0	9.0
Cell_3840	132.0	154.0	9.0
Cell_3841	133.0	155.0	9.0
Cell_3842	131.0	159.0	9.0
Cell_3843	131.0	160.0	9.0
Cell_3844	129.0	160.0	9.0
Cell_3845	131.0	162.0	9.0
Cell_3846	132.0	153.0	9.0
Cell_3847	131.0	153.0	9.0
Cell_3848	125.0	150.0	9.0
Cell_3849	121.0	150.0	9.0
Cell_3850	124.0	150.0	9.0
Cell_3851	124.0	152.0	9.0
Cell_3852	122.0	151.0	9.0
Cell_3853	122.0	150.0	9.0
Cell_3854	122.0	148.0	9.0
Cell_3855	123.0	148.0	9.0
Cell_3856	122.0	149.0	9.0
Cell_3857	122.0	147.0	9.0
Cell_3858	122.0	144.0	9.0
Cell_3859	120.0	144.0	9.0
Cell_3860	122.0	142.0	9.0
Cell_3861	119.0	152.0	9.0
Cell_3862	117.0	152.0	9.0
Cell_3863	119.0	153.0	9.0
Cell_3864	118.0	154.0	9.0
Cell_3865	118.0	153.0	9.0
Cell_3866	116.0	152.0	9.0
Cell_3867	114.0	152.0	9.0
Cell_3868	126.0	152.0	9.0
Cell_3869	126.0	151.0	9.0
Cell_3870	125.0	152.0	9.0
Cell_3871	126.0	153.0	9.0
Cell_3872	124.0	153.0	9.0
Cell_3873	122.0	153.0	9.0
Cell_3874	123.0	151.0	9.0
Cell_3875	124.0	151.0	9.0
Cell_3876	128.0	151.0	9.0
Cell_3877	125.0	153.0	9.0
Cell_3878	123.0	153.0	9.0
Cell_3879	125.0	154.0	9.0
Cell_3880	126.0	154.0	9.0
Cell_3881	120.0	154.0	9.0
Cell_3882	116.0	154.0	9.0
Cell_3883	117.0	154.0	9.0
Cell_3884	119.0	155.0	9.0
Cell_3885	121.0	151.0	9.0
Cell_3886	121.0	152.0	9.0
Cell_3887	120.0	153.0	9.0
Cell_3888	121.0	153.0	9.0
Cell_3889	119.0	154.0	9.0
Cell_3890	147.0	155.0	9.0
Cell_3891	145.0	155.0	9.0
Cell_3892	151.0	161.0	9.0
Cell_3893	151.0	162.0	9.0
Cell_3894	150.0	162.0	9.0
Cell_3895	148.0	164.0	9.0
Cell_3896	146.0	164.0	9.0
Cell_3897	149.0	164.0	9.0
Cell_3898	152.0	162.0	9.0
Cell_3899	152.0	164.0	9.0
Cell_3900	153.0	162.0	9.0
Cell_3901	153.0	168.0	9.0
Cell_3902	152.0	169.0	9.0
Cell_3903	153.0	172.0	9.0
Cell_3904	151.0	172.0	9.0
Cell_3905	150.0	164.0	9.0
Cell_3906	154.0	165.0	9.0
Cell_3907	152.0	166.0	9.0
Cell_3908	153.0	166.0	9.0
Cell_3909	154.0	166.0	9.0
Cell_3910	152.0	170.0	9.0
Cell_3911	154.0	168.0	9.0
Cell_3912	150.0	170.0	9.0
Cell_3913	152.0	167.0	9.0
Cell_3914	142.0	164.0	9.0
Cell_3915	141.0	166.0	9.0
Cell_3916	141.0	164.0	9.0
Cell_3917	141.0	162.0	9.0
Cell_3918	143.0	161.0	9.0
Cell_3919	142.0	161.0	9.0
Cell_3920	141.0	161.0	9.0
Cell_3921	143.0	160.0	9.0
Cell_3922	142.0	162.0	9.0
Cell_3923	144.0	163.0	9.0
Cell_3924	144.0	162.0	9.0
Cell_3925	143.0	159.0	9.0
Cell_3926	144.0	159.0	9.0
Cell_3927	143.0	158.0	9.0
Cell_3928	144.0	158.0	9.0
Cell_3929	144.0	160.0	9.0
Cell_3930	140.0	162.0	9.0
Cell_3931	140.0	165.0	9.0
Cell_3932	138.0	163.0	9.0
Cell_3933	139.0	164.0	9.0
Cell_3934	139.0	165.0	9.0
Cell_3935	136.0	164.0	9.0
Cell_3936	135.0	165.0	9.0
Cell_3937	134.0	166.0	9.0
Cell_3938	133.0	166.0	9.0
Cell_3939	135.0	164.0	9.0
Cell_3940	134.0	163.0	9.0
Cell_3941	131.0	163.0	9.0
Cell_3942	135.0	166.0	9.0
Cell_3943	136.0	169.0	9.0
Cell_3944	135.0	168.0	9.0
Cell_3945	137.0	170.0	9.0
Cell_3946	129.0	170.0	9.0
Cell_3947	134.0	168.0	9.0
Cell_3948	131.0	169.0	9.0
Cell_3949	133.0	168.0	9.0
Cell_3950	131.0	168.0	9.0
Cell_3951	133.0	169.0	9.0
Cell_3952	127.0	168.0	9.0
Cell_3953	131.0	164.0	9.0
Cell_3954	128.0	164.0	9.0
Cell_3955	129.0	164.0	9.0
Cell_3956	126.0	165.0	9.0
Cell_3957	126.0	166.0	9.0
Cell_3958	127.0	165.0	9.0
Cell_3959	127.0	166.0	9.0
Cell_3960	128.0	166.0	9.0
Cell_3961	125.0	164.0	9.0
Cell_3962	127.0	164.0	9.0
Cell_3963	120.0	164.0	9.0
Cell_3964	132.0	163.0	9.0
Cell_3965	133.0	163.0	9.0
Cell_3966	132.0	165.0	9.0
Cell_3967	132.0	167.0	9.0
Cell_3968	132.0	169.0	9.0
Cell_3969	132.0	170.0	9.0
Cell_3970	128.0	165.0	9.0
Cell_3971	132.0	166.0	9.0
Cell_3972	132.0	168.0	9.0
Cell_3973	130.0	168.0	9.0
Cell_3974	130.0	166.0	9.0
Cell_3975	138.0	161.0	9.0
Cell_3976	136.0	161.0	9.0
Cell_3977	137.0	163.0	9.0
Cell_3978	135.0	163.0	9.0
Cell_3979	138.0	164.0	9.0
Cell_3980	136.0	168.0	9.0
Cell_3981	136.0	166.0	9.0
Cell_3982	136.0	167.0	9.0
Cell_3983	135.0	174.0	9.0
Cell_3984	134.0	174.0	9.0
Cell_3985	133.0	172.0	9.0
Cell_3986	130.0	172.0	9.0
Cell_3987	138.0	167.0	9.0
Cell_3988	138.0	166.0	9.0
Cell_3989	137.0	167.0	9.0
Cell_3990	137.0	169.0	9.0
Cell_3991	138.0	168.0	9.0
Cell_3992	136.0	165.0	9.0
Cell_3993	134.0	167.0	9.0
Cell_3994	134.0	169.0	9.0
Cell_3995	133.0	167.0	9.0
Cell_3996	131.0	171.0	9.0
Cell_3997	130.0	171.0	9.0
Cell_3998	131.0	166.0	9.0
Cell_3999	131.0	167.0	9.0
Cell_4000	130.0	167.0	9.0
Cell_4001	128.0	169.0	9.0
Cell_4002	126.0	169.0	9.0
Cell_4003	129.0	165.0	9.0
Cell_4004	131.0	165.0	9.0
Cell_4005	129.0	167.0	9.0
Cell_4006	128.0	167.0	9.0
Cell_4007	129.0	169.0	9.0
Cell_4008	129.0	166.0	9.0
Cell_4009	129.0	168.0	9.0
Cell_4010	125.0	165.0	9.0
Cell_4011	125.0	167.0	9.0
Cell_4012	123.0	165.0	9.0
Cell_4013	122.0	165.0	9.0
Cell_4014	119.0	165.0	9.0
Cell_4015	129.0	163.0	9.0
Cell_4016	126.0	163.0	9.0
Cell_4017	127.0	163.0	9.0
Cell_4018	125.0	163.0	9.0
Cell_4019	123.0	163.0	9.0
Cell_4020	120.0	163.0	9.0
Cell_4021	122.0	164.0	9.0
Cell_4022	118.0	163.0	9.0
Cell_4023	145.0	166.0	9.0
Cell_4024	146.0	165.0	9.0
Cell_4025	147.0	167.0	9.0
Cell_4026	147.0	168.0	9.0
Cell_4027	147.0	166.0	9.0
Cell_4028	149.0	166.0	9.0
Cell_4029	147.0	164.0	9.0
Cell_4030	147.0	163.0	9.0
Cell_4031	144.0	164.0	9.0
Cell_4032	145.0	168.0	9.0
Cell_4033	143.0	172.0	9.0
Cell_4034	143.0	173.0	9.0
Cell_4035	142.0	173.0	9.0
Cell_4036	142.0	175.0	9.0
Cell_4037	142.0	177.0	9.0
Cell_4038	142.0	178.0	9.0
Cell_4039	141.0	174.0	9.0
Cell_4040	139.0	178.0	9.0
Cell_4041	146.0	183.0	9.0
Cell_4042	141.0	184.0	9.0
Cell_4043	140.0	180.0	9.0
Cell_4044	140.0	178.0	9.0
Cell_4045	143.0	187.0	9.0
Cell_4046	142.0	188.0	9.0
Cell_4047	145.0	187.0	9.0
Cell_4048	144.0	189.0	9.0
Cell_4049	151.0	159.0	9.0
Cell_4050	155.0	159.0	9.0
Cell_4051	155.0	161.0	9.0
Cell_4052	155.0	167.0	9.0
Cell_4053	155.0	168.0	9.0
Cell_4054	155.0	170.0	9.0
Cell_4055	155.0	166.0	9.0
Cell_4056	145.0	161.0	2.0
Cell_4057	149.0	162.0	2.0
Cell_4058	149.0	157.0	2.0
Cell_4059	150.0	156.0	2.0
Cell_4060	151.0	160.0	2.0
Cell_4061	151.0	164.0	2.0
Cell_4062	153.0	164.0	2.0
Cell_4063	159.0	167.0	2.0
Cell_4064	148.0	159.0	2.0
Cell_4065	148.0	161.0	2.0
Cell_4066	147.0	159.0	2.0
Cell_4067	147.0	158.0	2.0
Cell_4068	146.0	157.0	2.0
Cell_4069	148.0	157.0	2.0
Cell_4070	150.0	154.0	2.0
Cell_4071	151.0	154.0	2.0
Cell_4072	149.0	154.0	2.0
Cell_4073	148.0	154.0	2.0
Cell_4074	144.0	156.0	2.0
Cell_4075	151.0	155.0	2.0
Cell_4076	151.0	156.0	2.0
Cell_4077	151.0	158.0	2.0
Cell_4078	153.0	160.0	2.0
Cell_4079	153.0	159.0	2.0
Cell_4080	151.0	157.0	2.0
Cell_4081	153.0	157.0	2.0
Cell_4082	154.0	158.0	2.0
Cell_4083	154.0	160.0	2.0
Cell_4084	154.0	162.0	2.0
Cell_4085	154.0	164.0	2.0
Cell_4086	155.0	158.0	2.0
Cell_4087	154.0	155.0	2.0
Cell_4088	154.0	156.0	2.0
Cell_4089	154.0	159.0	2.0
Cell_4090	155.0	164.0	2.0
Cell_4091	157.0	166.0	2.0
Cell_4092	157.0	167.0	2.0
Cell_4093	159.0	166.0	2.0
Cell_4094	161.0	166.0	2.0
Cell_4095	161.0	168.0	2.0
Cell_4096	161.0	167.0	2.0
Cell_4097	161.0	169.0	2.0
Cell_4098	163.0	169.0	2.0
Cell_4099	161.0	171.0	2.0
Cell_4100	163.0	173.0	2.0
Cell_4101	162.0	171.0	2.0
Cell_4102	155.0	163.0	2.0
Cell_4103	152.0	160.0	2.0
Cell_4104	152.0	165.0	2.0
Cell_4105	153.0	163.0	2.0
Cell_4106	153.0	165.0	2.0
Cell_4107	155.0	165.0	2.0
Cell_4108	156.0	160.0	2.0
Cell_4109	156.0	162.0	2.0
Cell_4110	160.0	159.0	2.0
Cell_4111	158.0	161.0	2.0
Cell_4112	155.0	160.0	2.0
Cell_4113	158.0	159.0	2.0
Cell_4114	156.0	163.0	2.0
Cell_4115	156.0	166.0	2.0
Cell_4116	156.0	164.0	2.0
Cell_4117	156.0	169.0	2.0
Cell_4118	159.0	171.0	2.0
Cell_4119	160.0	172.0	2.0
Cell_4120	160.0	171.0	2.0
Cell_4121	158.0	173.0	2.0
Cell_4122	157.0	169.0	2.0
Cell_4123	157.0	171.0	2.0
Cell_4124	157.0	172.0	2.0
Cell_4125	158.0	171.0	2.0
Cell_4126	159.0	173.0	2.0
Cell_4127	159.0	174.0	2.0
Cell_4128	160.0	174.0	2.0
Cell_4129	160.0	176.0	2.0
Cell_4130	160.0	175.0	2.0
Cell_4131	158.0	175.0	2.0
Cell_4132	160.0	179.0	2.0
Cell_4133	158.0	176.0	2.0
Cell_4134	152.0	161.0	2.0
Cell_4135	152.0	163.0	2.0
Cell_4136	156.0	158.0	2.0
Cell_4137	157.0	157.0	2.0
Cell_4138	156.0	153.0	2.0
Cell_4139	157.0	153.0	2.0
Cell_4140	158.0	153.0	2.0
Cell_4141	161.0	152.0	2.0
Cell_4142	160.0	153.0	2.0
Cell_4143	161.0	153.0	2.0
Cell_4144	167.0	153.0	2.0
Cell_4145	169.0	153.0	2.0
Cell_4146	171.0	153.0	2.0
Cell_4147	173.0	153.0	2.0
Cell_4148	171.0	149.0	2.0
Cell_4149	170.0	154.0	2.0
Cell_4150	172.0	154.0	2.0
Cell_4151	171.0	154.0	2.0
Cell_4152	168.0	151.0	2.0
Cell_4153	172.0	153.0	2.0
Cell_4154	165.0	155.0	2.0
Cell_4155	166.0	155.0	2.0
Cell_4156	168.0	155.0	2.0
Cell_4157	170.0	153.0	2.0
Cell_4158	165.0	156.0	2.0
Cell_4159	164.0	152.0	2.0
Cell_4160	164.0	150.0	2.0
Cell_4161	164.0	155.0	2.0
Cell_4162	158.0	154.0	2.0
Cell_4163	160.0	156.0	2.0
Cell_4164	164.0	156.0	2.0
Cell_4165	166.0	154.0	2.0
Cell_4166	166.0	153.0	2.0
Cell_4167	168.0	148.0	2.0
Cell_4168	158.0	155.0	2.0
Cell_4169	160.0	155.0	2.0
Cell_4170	165.0	160.0	2.0
Cell_4171	165.0	161.0	2.0
Cell_4172	164.0	158.0	2.0
Cell_4173	164.0	159.0	2.0
Cell_4174	162.0	155.0	2.0
Cell_4175	162.0	153.0	2.0
Cell_4176	156.0	154.0	2.0
Cell_4177	157.0	154.0	2.0
Cell_4178	159.0	156.0	2.0
Cell_4179	158.0	156.0	2.0
Cell_4180	156.0	152.0	2.0
Cell_4181	157.0	152.0	2.0
Cell_4182	159.0	152.0	2.0
Cell_4183	155.0	153.0	2.0
Cell_4184	156.0	155.0	2.0
Cell_4185	159.0	153.0	2.0
Cell_4186	161.0	151.0	2.0
Cell_4187	163.0	153.0	2.0
Cell_4188	159.0	158.0	2.0
Cell_4189	162.0	156.0	2.0
Cell_4190	161.0	156.0	2.0
Cell_4191	168.0	154.0	2.0
Cell_4192	168.0	156.0	2.0
Cell_4193	170.0	159.0	2.0
Cell_4194	171.0	159.0	2.0
Cell_4195	172.0	161.0	2.0
Cell_4196	166.0	156.0	2.0
Cell_4197	167.0	157.0	2.0
Cell_4198	171.0	157.0	2.0
Cell_4199	170.0	157.0	2.0
Cell_4200	170.0	158.0	2.0
Cell_4201	171.0	160.0	2.0
Cell_4202	159.0	154.0	2.0
Cell_4203	161.0	154.0	2.0
Cell_4204	159.0	155.0	2.0
Cell_4205	161.0	157.0	2.0
Cell_4206	155.0	154.0	2.0
Cell_4207	160.0	154.0	2.0
Cell_4208	162.0	154.0	2.0
Cell_4209	164.0	154.0	2.0
Cell_4210	164.0	153.0	2.0
Cell_4211	163.0	156.0	2.0
Cell_4212	163.0	155.0	2.0
Cell_4213	163.0	157.0	2.0
Cell_4214	163.0	158.0	2.0
Cell_4215	165.0	158.0	2.0
Cell_4216	168.0	158.0	2.0
Cell_4217	166.0	159.0	2.0
Cell_4218	167.0	156.0	2.0
Cell_4219	169.0	156.0	2.0
Cell_4220	172.0	156.0	2.0
Cell_4221	169.0	157.0	2.0
Cell_4222	170.0	155.0	2.0
Cell_4223	173.0	155.0	2.0
Cell_4224	167.0	158.0	2.0
Cell_4225	169.0	160.0	2.0
Cell_4226	167.0	162.0	2.0
Cell_4227	167.0	160.0	2.0
Cell_4228	170.0	160.0	2.0
Cell_4229	172.0	159.0	2.0
Cell_4230	168.0	160.0	2.0
Cell_4231	161.0	155.0	2.0
Cell_4232	163.0	154.0	2.0
Cell_4233	165.0	154.0	2.0
Cell_4234	165.0	152.0	2.0
Cell_4235	167.0	152.0	2.0
Cell_4236	159.0	151.0	2.0
Cell_4237	161.0	150.0	2.0
Cell_4238	162.0	150.0	2.0
Cell_4239	163.0	149.0	2.0
Cell_4240	163.0	150.0	2.0
Cell_4241	164.0	147.0	2.0
Cell_4242	168.0	147.0	2.0
Cell_4243	171.0	148.0	2.0
Cell_4244	172.0	147.0	2.0
Cell_4245	172.0	150.0	2.0
Cell_4246	165.0	147.0	2.0
Cell_4247	165.0	144.0	2.0
Cell_4248	166.0	147.0	2.0
Cell_4249	158.0	151.0	2.0
Cell_4250	157.0	148.0	2.0
Cell_4251	159.0	148.0	2.0
Cell_4252	159.0	147.0	2.0
Cell_4253	162.0	148.0	2.0
Cell_4254	162.0	146.0	2.0
Cell_4255	162.0	145.0	2.0
Cell_4256	165.0	145.0	2.0
Cell_4257	168.0	150.0	2.0
Cell_4258	165.0	148.0	2.0
Cell_4259	165.0	146.0	2.0
Cell_4260	168.0	145.0	2.0
Cell_4261	170.0	145.0	2.0
Cell_4262	172.0	142.0	2.0
Cell_4263	164.0	145.0	2.0
Cell_4264	157.0	145.0	2.0
Cell_4265	155.0	150.0	2.0
Cell_4266	159.0	150.0	2.0
Cell_4267	156.0	150.0	2.0
Cell_4268	157.0	150.0	2.0
Cell_4269	155.0	148.0	2.0
Cell_4270	159.0	149.0	2.0
Cell_4271	155.0	149.0	2.0
Cell_4272	155.0	152.0	2.0
Cell_4273	152.0	152.0	2.0
Cell_4274	154.0	152.0	2.0
Cell_4275	154.0	150.0	2.0
Cell_4276	153.0	151.0	2.0
Cell_4277	153.0	154.0	2.0
Cell_4278	153.0	156.0	2.0
Cell_4279	152.0	151.0	2.0
Cell_4280	153.0	153.0	2.0
Cell_4281	153.0	149.0	2.0
Cell_4282	154.0	153.0	2.0
Cell_4283	154.0	151.0	2.0
Cell_4284	155.0	151.0	2.0
Cell_4285	152.0	149.0	2.0
Cell_4286	154.0	148.0	2.0
Cell_4287	154.0	149.0	2.0
Cell_4288	157.0	146.0	2.0
Cell_4289	157.0	147.0	2.0
Cell_4290	163.0	148.0	2.0
Cell_4291	164.0	148.0	2.0
Cell_4292	167.0	148.0	2.0
Cell_4293	167.0	147.0	2.0
Cell_4294	171.0	147.0	2.0
Cell_4295	167.0	145.0	2.0
Cell_4296	169.0	150.0	2.0
Cell_4297	171.0	150.0	2.0
Cell_4298	171.0	151.0	2.0
Cell_4299	167.0	150.0	2.0
Cell_4300	168.0	149.0	2.0
Cell_4301	170.0	148.0	2.0
Cell_4302	161.0	148.0	2.0
Cell_4303	161.0	141.0	2.0
Cell_4304	163.0	142.0	2.0
Cell_4305	164.0	141.0	2.0
Cell_4306	166.0	139.0	2.0
Cell_4307	168.0	138.0	2.0
Cell_4308	165.0	135.0	2.0
Cell_4309	165.0	137.0	2.0
Cell_4310	167.0	137.0	2.0
Cell_4311	167.0	135.0	2.0
Cell_4312	167.0	134.0	2.0
Cell_4313	161.0	143.0	2.0
Cell_4314	161.0	140.0	2.0
Cell_4315	161.0	142.0	2.0
Cell_4316	163.0	141.0	2.0
Cell_4317	161.0	139.0	2.0
Cell_4318	165.0	138.0	2.0
Cell_4319	159.0	144.0	2.0
Cell_4320	162.0	143.0	2.0
Cell_4321	164.0	143.0	2.0
Cell_4322	164.0	144.0	2.0
Cell_4323	166.0	143.0	2.0
Cell_4324	168.0	143.0	2.0
Cell_4325	170.0	142.0	2.0
Cell_4326	170.0	140.0	2.0
Cell_4327	170.0	141.0	2.0
Cell_4328	162.0	147.0	2.0
Cell_4329	160.0	146.0	2.0
Cell_4330	160.0	145.0	2.0
Cell_4331	161.0	147.0	2.0
Cell_4332	168.0	146.0	2.0
Cell_4333	172.0	144.0	2.0
Cell_4334	171.0	146.0	2.0
Cell_4335	172.0	146.0	2.0
Cell_4336	171.0	144.0	2.0
Cell_4337	173.0	144.0	2.0
Cell_4338	168.0	140.0	2.0
Cell_4339	167.0	146.0	2.0
Cell_4340	163.0	144.0	2.0
Cell_4341	162.0	142.0	2.0
